room knife	9	15	13.33143234	24	0.555476348	0.625
horse village	0	111	98.80273438	111	0.890114724	1
table wine	0	259	243.0055389	259	0.938245324	1
system letter	13	0	5.247804165	13	0.403677243	0
clock town	0	42	37.37120438	42	0.88979058	1
mountain country	202	0	30.55621147	202	0.151268374	0
box library	11	0	3.047290087	11	0.277026372	0
printer town	0	12	8.871390343	12	0.739282529	1
shell town	1	26	19.11123085	27	0.707823365	0.962962963
butter girl	6	6	6.159722805	12	0.513310234	0.5
bottle coffee	0	15	12.37544918	15	0.825029945	1
bed husband	0	70	58.91414642	70	0.841630663	1
meadow spring	22	3	10.19980431	25	0.407992172	0.12
door button	1	20	14.50729465	21	0.690823555	0.952380952
wheel street	0	45	32.77901459	45	0.728422546	1
brother street	0	23	15.53078365	23	0.675251463	1
bank lake	74	0	9.012068748	74	0.121784713	0
border stream	11	5	7.207489014	16	0.450468063	0.3125
window avenue	0	24	18.35426521	24	0.764761051	1
child friend	506	0	50.93521881	506	0.100662488	0
door meat	0	14	11.64697266	14	0.831926618	1
acorn valley	0	11	6.575877666	11	0.597807061	1
form garden	18	0	6.918561935	18	0.384364552	0
schooner board	57	59	57.96372223	116	0.499687261	0.50862069
form bird	78	0	7.026602745	78	0.090084651	0
form bone	22	2	10.44305134	24	0.435127139	0.083333333
car wood	6	11	9.20188427	17	0.54128731	0.647058824
university library	14	0	4.56780386	14	0.326271704	0
herb garden	18	16	17.29472733	34	0.508668451	0.470588235
silver home	30	0	6.481760025	30	0.216058668	0
bridge passenger	0	14	12.61986256	14	0.901418754	1
road stream	0	108	95.25395966	108	0.881981108	1
capital road	21	0	2.341767073	21	0.111512718	0
silver coin	120	0	13.19354248	120	0.109946187	0
book column	16	0	2.385150194	16	0.149071887	0
clock chair	0	26	18.83866119	26	0.724563892	1
stone farm	11	3	6.182058334	14	0.441575595	0.214285714
building flag	0	23	18.20735741	23	0.791624235	1
country canoe	14	0	2.670275927	14	0.190733995	0
gown print	14	0	5.23584938	14	0.373989241	0
floor cave	0	28	26.69799995	28	0.953499998	1
garden valley	3	31	21.38106918	34	0.628854976	0.911764706
son letter	203	0	24.61761284	203	0.121269029	0
book village	0	22	18.58695984	22	0.844861811	1
maid husband	24	7	12.84028244	31	0.414202659	0.225806452
shoe store	16	4	8.878156662	20	0.443907833	0.2
country coat	14	0	1.922726631	14	0.137337617	0
roof boat	0	17	16.35246658	17	0.961909799	1
bridge wheel	0	14	9.980000496	14	0.712857178	1
bridge brother	0	15	11.84878063	15	0.789918709	1
bed bird	0	24	16.90567207	24	0.704403003	1
bottle wife	0	16	12.1676569	16	0.760478556	1
arrow bird	33	0	3.116511106	33	0.09443973	0
bank tower	24	1	9.67564106	25	0.387025642	0.04
plum tree	0	45	39.25489426	45	0.872330983	1
shop food	10	2	4.947780132	12	0.412315011	0.166666667
house toy	13	3	7.522248745	16	0.470140547	0.1875
school captain	9	12	11.24497318	21	0.535474913	0.571428571
